transformer,encoder,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
StandardScaler,OneHotEncoder,LinearRegression,0,3.2763161659240723,0.06395077705383301,0.9821506137140537,0.9821762082679627,0.2469988894622268,0.24713134401076117,0.10990973632722688,0.10911518112440437,0.33152637350175757,0.33032587110973366,88192681766041.33,87333473843394.81
StandardScaler,OneHotEncoder,LinearRegression,1,2.8860743045806885,0.05788683891296387,0.9820613368643715,0.9821975172936879,0.24746918760592515,0.24700810267955622,0.10993589888635537,0.10911480543721402,0.33156582888825464,0.33032530244777497,87808068201742.05,87099902512618.12
StandardScaler,OneHotEncoder,LinearRegression,2,3.0028483867645264,0.052826881408691406,0.9820588891733124,0.9821973654421883,0.24748858739177385,0.24697174583917914,0.1091306290927737,0.10931848767162257,0.3303492532045043,0.33063346423437323,86473774730449.77,87656628645618.81
StandardScaler,OneHotEncoder,LinearRegression,3,2.8920531272888184,0.059972286224365234,0.982176176022267,0.9821704760457791,0.24706135947818086,0.24712633691370592,0.10881641646770496,0.10938440652397878,0.3298733339748834,0.33073313490483347,87436080252714.98,87656052747775.52
StandardScaler,OneHotEncoder,LinearRegression,4,2.8106441497802734,0.05258679389953613,0.9823865795791173,0.982116739523718,0.2465251142682581,0.24717553155986108,0.10869341158458573,0.10941897279653771,0.3296868386584241,0.33078538782198,87130469081088.97,87294300473423.05
StandardScaler,OneHotEncoder,DecisionTreeRegressor,0,7.367219686508179,0.09007787704467773,0.9960361142010357,0.9999165684957387,0.08280242891800807,0.0010759096947057954,0.024408102105921224,0.0005107579709082998,0.15623092557468007,0.022599955108546118,1950195972145.1616,0.00016239817890139455
StandardScaler,OneHotEncoder,DecisionTreeRegressor,1,7.9055774211883545,0.09056711196899414,0.9960293521874778,0.9999148518829599,0.08280315972482333,0.0010933883712798062,0.024333849915704548,0.0005218890183714558,0.1559931085519631,0.022844890421524367,1731385910477.7222,0.00016503533502301254
StandardScaler,OneHotEncoder,DecisionTreeRegressor,2,7.525107383728027,0.090606689453125,0.9960226540369687,0.9999186141659571,0.08328897852918135,0.001069996572030755,0.024193054223797746,0.0004997561606160964,0.15554116568869394,0.022355226695699074,1198452194863.977,0.00016145371071818083
StandardScaler,OneHotEncoder,DecisionTreeRegressor,3,7.629215955734253,0.10787224769592285,0.9961097337695306,0.9999180704120756,0.08313560859568359,0.0010670876024401618,0.023750505549979622,0.0005026392950748045,0.1541119902862189,0.02241961853098318,1375402150386.8328,0.00016096904446562255
StandardScaler,OneHotEncoder,DecisionTreeRegressor,4,7.635653734207153,0.08900046348571777,0.9964650681476618,0.9999215763086832,0.08248610084290948,0.001034651498057063,0.021814263985552876,0.00047983642346292226,0.1476965266536518,0.02190516887547143,1131899675751.2783,0.00015598089529348204
StandardScaler,OneHotEncoder,GradientBoostingRegressor,0,106.97750234603882,0.3259904384613037,0.9856195775769535,0.9856978254267992,0.2129622381139779,0.2125476865406226,0.08854917538737048,0.0875562502350491,0.2975721347629352,0.29589905413003453,24858662647675.156,23783767062998.87
StandardScaler,OneHotEncoder,GradientBoostingRegressor,1,117.76731467247009,0.3764054775238037,0.9854677336313555,0.985580870209836,0.2134209912618805,0.21333838388664872,0.08906002381636803,0.08837759134965108,0.29842926099222916,0.29728368833430985,23828308773870.656,23458241861007.26
StandardScaler,OneHotEncoder,GradientBoostingRegressor,2,120.3270947933197,0.3837919235229492,0.9854450829802516,0.985574839415396,0.21393273074627142,0.2131323889462658,0.08853338380784763,0.0885788412051213,0.2975455995437466,0.2976219770197109,22779337138969.652,23655448714843.363
StandardScaler,OneHotEncoder,GradientBoostingRegressor,3,117.59814238548279,0.4052603244781494,0.9856919606190158,0.9856392916381235,0.2123699212939873,0.2127285214790348,0.08735216270439952,0.08810316896071299,0.2955539928750744,0.29682177979506996,23350298145000.293,23375164300370.465
StandardScaler,OneHotEncoder,GradientBoostingRegressor,4,117.68206810951233,0.37539076805114746,0.9856987841690794,0.9854809747521996,0.21327105623708711,0.21382647153786552,0.08825361010671623,0.08883485372973828,0.29707509169689106,0.29805176350717716,24045648386783.836,24383580655230.617
StandardScaler,HelmertEncoder,LinearRegression,0,2.4650864601135254,0.04616808891296387,0.9821502423276746,0.9821755798835216,0.24701873744771233,0.24715938937812534,0.10991202318338812,0.10911902802090932,0.3315298224645682,0.33033169393945433,88318253104459.77,87471449591403.36
StandardScaler,HelmertEncoder,LinearRegression,1,2.4834423065185547,0.04866814613342285,0.9820596870421556,0.9821955252540774,0.24755070192797543,0.24709094848742277,0.10994600971161182,0.10912701502719696,0.3315810756234617,0.3303437830914893,88375548900127.84,87649670768743.48
StandardScaler,HelmertEncoder,LinearRegression,2,2.469940662384033,0.048331260681152344,0.9820599553082392,0.9821981982648835,0.24750066283805996,0.24697385551979395,0.1091241440999338,0.10931337365789369,0.3303394376999722,0.33062573048372035,86479751457698.45,87643785146108.8
StandardScaler,HelmertEncoder,LinearRegression,3,2.4430227279663086,0.042601823806762695,0.9821748396700566,0.9821699494009092,0.24708171825186162,0.24712984206704883,0.1088245750457328,0.10938763749843945,0.32988569997157013,0.33073801943296366,87466763428978.81,87671461559594.0
StandardScaler,HelmertEncoder,LinearRegression,4,2.4868979454040527,0.06447625160217285,0.9823863925027752,0.9821167020098892,0.2465237594993591,0.24717298930142345,0.1086945660432526,0.10941920232541039,0.3296885894950758,0.3307857347671002,87134406944486.44,87299293198890.38
StandardScaler,HelmertEncoder,DecisionTreeRegressor,0,9.679214715957642,0.1044304370880127,0.9959511383336547,0.9999165684957387,0.08339569738286995,0.0010759096947057954,0.024931351198545594,0.0005107579709082998,0.1578966472048903,0.022599955108546118,2183824829977.154,0.00016239817890139458
StandardScaler,HelmertEncoder,DecisionTreeRegressor,1,9.677643775939941,0.10933256149291992,0.9959823091996137,0.9999148518829599,0.08314733576968054,0.001093388371279806,0.02462214972478345,0.0005218890183714558,0.15691446626995056,0.022844890421524367,1937155560313.535,0.00016503533502301251
StandardScaler,HelmertEncoder,DecisionTreeRegressor,2,9.650521278381348,0.10585379600524902,0.9960346096764029,0.9999186141659571,0.08322686256989875,0.0010699965720307547,0.024120331499699665,0.0004997561606160964,0.1553072165087626,0.022355226695699074,1182058853581.082,0.00016145371071818083
