iter	Passed	Remaining
0	205	205438
1	274	137164
2	346	115051
3	420	104804
4	497	98905
5	569	94285
6	667	94745
7	762	94552
8	853	93936
9	927	91860
10	996	89609
11	1063	87524
12	1132	85995
13	1203	84734
14	1276	83833
15	1339	82402
16	1409	81506
17	1483	80909
18	1548	79968
19	1620	79425
20	1692	78891
21	1765	78481
22	1830	77749
23	1902	77367
24	1977	77107
25	2042	76497
26	2131	76796
27	2195	76213
28	2261	75735
29	2331	75384
30	2414	75478
31	2480	75043
32	2546	74614
33	2618	74385
34	2684	74016
35	2752	73705
36	2824	73514
37	2899	73402
38	2961	72983
39	3022	72531
40	3085	72160
41	3143	71701
42	3202	71282
43	3267	71002
44	3344	70975
45	3405	70619
46	3463	70218
47	3535	70119
48	3617	70203
49	3684	70013
50	3742	69641
51	3800	69293
52	3875	69240
53	3929	68830
54	3995	68642
55	4043	68154
56	4124	68230
57	4178	67867
58	4240	67627
59	4308	67499
60	4385	67508
61	4442	67206
62	4502	66962
63	4570	66841
64	4638	66720
65	4695	66443
66	4770	66432
67	4830	66207
68	4888	65956
69	4943	65672
70	4992	65319
71	5054	65147
72	5121	65041
73	5183	64858
74	5250	64750
75	5297	64411
76	5364	64298
77	5422	64099
78	5472	63800
79	5524	63536
80	5578	63289
81	5646	63208
82	5723	63230
83	5789	63137
84	5853	63009
85	5903	62737
86	5965	62603
87	6033	62528
88	6096	62400
89	6156	62246
90	6229	62227
91	6303	62211
92	6361	62039
93	6419	61870
94	6476	61700
95	6550	61681
96	6598	61422
97	6653	61240
98	6722	61178
99	6795	61157
100	6865	61107
101	6930	61012
102	7019	61127
103	7116	61311
104	7186	61257
105	7260	61232
106	7326	61143
107	7424	61318
108	7529	61551
109	7613	61603
110	7677	61493
111	7739	61364
112	7820	61383
113	7888	61306
114	7951	61193
115	8021	61133
116	8072	60919
117	8132	60783
118	8198	60699
119	8271	60659
120	8334	60542
121	8386	60357
122	8468	60381
123	8532	60274
124	8648	60537
125	8760	60768
126	8809	60556
127	8872	60446
128	8936	60335
129	9010	60299
130	9096	60342
131	9177	60346
132	9246	60277
133	9319	60231
134	9370	60043
135	9430	59913
136	9496	59823
137	9554	59679
138	9623	59608
139	9700	59590
140	9764	59484
141	9806	59255
142	9862	59104
143	9931	59034
144	9994	58932
145	10089	59016
146	10176	59052
147	10251	59016
148	10319	58936
149	10400	58934
150	10465	58843
151	10528	58739
152	10606	58715
153	10672	58629
