Date,Open,High,Low,Close,Volume
2016-02-11,29.33,29.51,29.030001,29.27,4805000
2016-02-12,29.52,29.950001,29.41,29.9,3116500
2016-02-16,29.950001,30.42,29.9,30.26,4037900
2016-02-17,31.0,31.32,30.9,31.09,4313800
2016-02-18,31.09,31.15,30.92,30.959999,3522800
2016-02-19,30.469999,30.74,30.309999,30.57,2690900
2016-02-22,30.450001,30.690001,30.440001,30.65,3173800
2016-02-23,30.309999,30.41,29.98,30.030001,2931200
2016-02-24,29.690001,29.99,29.450001,29.889999,5248900
2016-02-25,30.35,30.790001,30.08,30.68,3390400
2016-02-26,30.440001,30.540001,30.299999,30.4,2360600
2016-02-29,30.27,30.74,30.25,30.4,2404600
2016-03-01,30.889999,31.35,30.799999,31.35,2368700
2016-03-02,31.07,31.370001,30.940001,31.35,2163200
2016-03-03,31.34,31.57,31.200001,31.51,2100100
2016-03-04,31.67,31.74,31.43,31.57,2131000
2016-03-07,30.799999,31.299999,30.690001,31.129999,2477100
2016-03-08,31.08,31.18,30.860001,30.969999,1929600
2016-03-09,30.9,31.01,30.68,30.75,2410500
2016-03-10,30.809999,31.040001,30.299999,30.57,2494100
2016-03-11,31.07,31.49,31.040001,31.48,2462700
2016-03-14,31.58,31.690001,31.51,31.559999,3591600
2016-03-15,31.360001,31.379999,31.190001,31.280001,3420900
2016-03-16,31.120001,31.57,31.07,31.530001,2334200
2016-03-17,31.73,32.029999,31.52,31.950001,2474300
2016-03-18,32.02,32.029999,31.530001,31.559999,2490500
2016-03-21,31.24,31.59,31.219999,31.440001,2877300
2016-03-22,30.889999,31.309999,30.879999,31.24,2934100
2016-03-23,31.299999,31.35,31.209999,31.26,1953100
2016-03-24,31.0,31.32,30.940001,31.299999,1832000
2016-03-28,31.559999,31.57,31.25,31.440001,1380400
2016-03-29,31.27,31.879999,31.129999,31.780001,3174300
2016-03-30,32.200001,32.41,32.09,32.099998,3218200
2016-03-31,32.040001000000004,32.209999,31.92,32.049999,2795200
2016-04-01,31.32,31.83,31.23,31.73,3741100
2016-04-04,31.639999,31.85,31.52,31.74,4168600
2016-04-05,31.190001,31.27,30.51,30.66,5177300
2016-04-06,30.889999,31.370001,30.82,31.34,3117000
2016-04-07,31.389999,31.700001,31.32,31.68,7020300
2016-04-08,32.080002,32.52,32.07,32.220001,5304500
2016-04-11,32.5,32.549999,32.189999,32.200001,3698000
2016-04-12,32.380001,32.709999,32.16,32.639999,2476300
2016-04-13,32.5,32.59,32.330002,32.459999,2195500
2016-04-14,32.189999,32.439999,32.119999,32.349998,1977700
2016-04-15,32.619999,32.939999,32.580002,32.830002,2671600
2016-04-18,32.509998,32.900002,32.509998,32.900002,2997600
2016-04-19,33.529999,33.860001000000004,33.400002,33.82,3416900
2016-04-20,33.639999,33.849998,33.610001000000004,33.66,3477200
2016-04-21,33.73,33.73,33.279999,33.419998,3059800
2016-04-22,32.959999,33.310001,32.919998,33.310001,3521200
2016-04-25,33.060001,33.41,32.939999,33.380001,2111600
2016-04-26,33.360001000000004,33.529999,33.240002000000004,33.400002,2736200
2016-04-27,33.049999,33.369999,32.900002,33.27,3661700
2016-04-28,32.880001,33.25,32.849998,32.98,5205300
2016-04-29,32.610001000000004,32.830002,32.529999,32.740002000000004,4655100
2016-05-02,32.77,33.02,32.77,33.009998,2527700
2016-05-03,32.950001,32.98,32.529999,32.650002,2459100
2016-05-04,32.040001000000004,32.209999,31.93,32.130001,4494100
2016-05-05,32.099998,32.450001,32.02,32.25,3299900
2016-05-06,31.959999,32.25,31.790001,32.240002000000004,1895900
2016-05-09,32.209999,32.23,31.940001,32.080002,1916600
2016-05-10,32.189999,32.639999,32.150002,32.599998,1762000
2016-05-11,32.630001,32.790001000000004,32.490002000000004,32.52,2433500
2016-05-12,33.029999,33.099998,32.669998,32.84,2639800
2016-05-13,32.450001,32.759998,32.450001,32.529999,2977300
2016-05-16,32.48,32.779999,32.48,32.740002000000004,3091000
2016-05-17,33.459999,33.77,33.23,33.580002,7990500
2016-05-18,33.91,34.459999,33.830002,34.130001,7438800
2016-05-19,33.799999,33.830002,33.32,33.630001,3641500
2016-05-20,33.700001,33.919998,33.650002,33.669998,3848200
2016-05-23,33.240002000000004,33.32,33.09,33.130001,3379100
2016-05-24,33.439999,33.77,33.419998,33.75,2371100
2016-05-25,34.060001,34.310001,34.02,34.189999,3021900
2016-05-26,34.349998,34.68,34.279999,34.490002000000004,3395900
2016-05-27,34.330002,34.700001,34.310001,34.689999,3643300
2016-05-31,34.490002000000004,34.560001,33.860001000000004,33.990002000000004,3302300
2016-06-01,33.32,33.73,33.299999,33.700001,2847700
2016-06-02,33.549999,33.810001,33.509998,33.790001000000004,3152200
2016-06-03,33.709999,33.830002,33.450001,33.82,2065900
2016-06-06,33.779999,34.119999,33.77,34.02,3257100
2016-06-07,34.029999,34.259998,34.02,34.18,3062200
2016-06-08,32.950001,33.060001,32.849998,32.950001,3084500
2016-06-09,32.52,32.599998,32.130001,32.209999,4424800
2016-06-10,31.200001,31.370001,31.0,31.17,6302800
2016-06-13,30.51,30.76,30.5,30.639999,8068600
2016-06-14,30.360001,30.469999,29.98,30.32,8483800
2016-06-15,30.540001,30.73,30.280001,30.360001,4878600
2016-06-16,29.92,30.51,29.610001,30.48,6833200
2016-06-17,30.709999,30.940001,30.459999,30.91,5941500
2016-06-20,32.25,32.34,31.83,31.870001,6782900
2016-06-21,31.76,32.07,31.620001,31.84,4487700
2016-06-22,32.060001,32.459999,32.0,32.02,5006700
2016-06-23,32.66,32.68,32.139999,32.470001,6181400
2016-06-24,29.77,30.780001,29.75,30.17,16825900
2016-06-27,28.610001,28.799999,27.92,28.309999,18409100
2016-06-28,29.75,29.75,29.299999,29.66,10138100
2016-06-29,30.34,30.5,30.049999,30.120001,8958300
2016-06-30,30.120001,30.889999,30.040001,30.889999,6282600
2016-07-01,30.76,30.93,30.690001,30.85,3343500
2016-07-05,30.139999,30.42,30.120001,30.23,4424300
2016-07-06,29.42,29.790001,29.18,29.77,5892100
2016-07-07,30.01,30.030001,29.48,29.610001,3904100
2016-07-08,30.1,30.110001,29.92,29.969999,3638900
2016-07-11,30.129999,30.59,30.08,30.459999,5453000
2016-07-12,30.379999,31.0,30.25,30.9,10454800
2016-07-13,30.639999,31.0,30.6,30.6,5856300
2016-07-14,30.870001,30.9,30.559999,30.709999,4644300
2016-07-15,30.58,30.709999,30.450001,30.65,4187400
2016-07-18,30.42,30.59,30.25,30.49,5260400
2016-07-19,30.110001,30.209999,29.870001,29.959999,5673600
2016-07-20,30.08,30.24,29.969999,30.17,2939200
2016-07-21,29.959999,30.309999,29.91,30.110001,3594400
2016-07-22,31.27,31.459999,31.23,31.34,7019200
2016-07-25,31.200001,31.43,31.139999,31.33,3759500
2016-07-26,31.18,31.299999,30.889999,31.049999,2788600
2016-07-27,31.200001,31.280001,30.83,31.120001,3041000
2016-07-28,30.860001,30.879999,30.629999,30.790001,3947900
2016-07-29,30.67,31.040001,30.530001,30.9,2658300
2016-08-01,30.719999,31.030001,30.68,30.75,2569400
2016-08-02,30.709999,30.809999,30.559999,30.780001,3728000
2016-08-03,30.67,31.209999,30.66,31.190001,6297000
2016-08-04,30.950001,31.120001,30.799999,31.049999,4533000
2016-08-05,30.950001,31.18,30.889999,31.120001,3295000
2016-08-08,30.700001,31.02,30.690001,30.92,4888100
2016-08-09,30.620001,30.950001,30.59,30.870001,3542600
2016-08-10,30.76,30.85,30.639999,30.76,3340000
2016-08-11,30.9,31.33,30.84,31.23,3392800
2016-08-12,31.379999,31.469999,31.190001,31.209999,2034000
2016-08-15,31.219999,31.43,31.190001,31.34,4249400
2016-08-16,31.200001,31.370001,31.139999,31.209999,3663000
2016-08-17,31.42,31.43,31.09,31.35,2259000
2016-08-18,31.370001,31.690001,31.33,31.68,2824100
2016-08-19,31.26,31.370001,31.08,31.309999,3386300
2016-08-22,31.190001,31.34,31.110001,31.309999,3052000
2016-08-23,31.610001,31.67,31.360001,31.389999,2461800
2016-08-24,31.41,31.48,31.32,31.379999,3086300
2016-08-25,31.33,31.34,31.07,31.1,2203500
2016-08-26,31.190001,31.49,30.85,30.99,3465200
2016-08-29,30.950001,31.120001,30.92,31.040001,1351800
2016-08-30,30.84,30.92,30.540001,30.629999,3981300
2016-08-31,30.84,30.879999,30.559999,30.65,3260600
2016-09-01,30.41,30.440001,30.08,30.190001,3630400
2016-09-02,30.68,30.959999,30.559999,30.9,3845900
2016-09-06,30.549999,30.709999,30.49,30.68,3043700
2016-09-07,30.530001,30.59,30.15,30.23,4263700
2016-09-08,30.049999,30.26,30.01,30.190001,4732900
2016-09-09,30.049999,30.049999,29.620001,29.67,5900800
2016-09-12,29.84,30.51,29.77,30.459999,10641500
2016-09-13,30.0,30.0,29.459999,29.66,7463200
2016-09-14,29.309999,29.610001,29.24,29.450001,6996300
2016-09-15,29.4,29.690001,29.33,29.57,6103200
2016-09-16,29.16,29.190001,28.84,28.99,9224300
