P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
1,1,0,0.3558315971206737,142.82298957465895,0.1266161255094493,0.21680163756300241,0.008129578024634336,0.9927498464758333,2.042582901400281,-2325.119615363525,-2310.035011067351
1,1,1,0.33523919892475673,126.77064151916382,0.11238532049571266,0.20507044091641113,0.008160140610638692,0.9948419324191881,2.016626048890335,-2459.607160303303,-2444.522556007129
1,1,2,0.326474968105015,120.22890061346436,0.10658590479917049,0.19998748027772775,0.008417765668758504,0.9953359083936393,1.968390517132177,-2519.3709132875024,-2504.2863089913285
1,1,3,0.31253375853457377,110.1800510523869,0.09767735022374721,0.1903834145640483,0.008253579189973038,0.9957662357969587,2.0075803701573403,-2617.824530471521,-2602.739926175347
1,1,4,0.3706970687330479,155.00560531348515,0.13741631676727398,0.2181204932641509,0.010263561707379375,0.994934081579394,2.0022617602556014,-2232.7868919972457,-2217.702287701072
1,1,5,0.3857807925500721,167.87665284783364,0.14882681990056168,0.22731912746310715,0.01130439264148178,0.9949162577212033,2.0030757830369015,-2142.808338796787,-2127.7237345006133
1,1,6,0.38422062552701536,166.52155168265844,0.14762548908037085,0.22612544433409168,0.011702427141338682,0.9948306089118295,2.0035875726345695,-2151.950507987854,-2136.86590369168
1,2,0,0.36014591563616005,146.30733085973233,0.12970508054940796,0.2194256966104411,0.00822791152469821,0.9925729701247458,1.9918802558108277,-2295.9309950426236,-2275.8181893143915
1,2,1,0.3422775385817977,132.1496143350686,0.11715391341761383,0.20983312373077173,0.008353373109458969,0.9946230717668532,1.9373591542548514,-2410.7328482027965,-2390.6200424745643
1,2,2,0.3336271768161847,125.55440102846102,0.11130709311033782,0.2050884957172011,0.00863418389335168,0.9951293139587029,1.8814365316813735,-2468.481466592723,-2448.3686608644907
1,2,3,0.3225776844536836,117.3755769084603,0.10405636250750033,0.19631349162943793,0.008516512309157695,0.9954897414633609,1.8898074736460473,-2544.463869623663,-2524.351063895431
1,2,4,0.3739279919707123,157.71937750619296,0.13982214317924915,0.22010043741452812,0.010355676377476235,0.9948453896349152,1.96769384384524,-2211.2092308302435,-2191.0964251020114
1,2,5,0.3870909307958402,169.0188304585519,0.14983938870438993,0.22657365966268989,0.011271362342862584,0.9948816696083775,1.9976529008008428,-2133.1597869756474,-2113.0469812474153
1,2,6,0.385007073629127,167.2039439277554,0.14823044674446406,0.22712713661492137,0.011757007873099164,0.9948094251530019,1.9975101332613219,-2145.3374979818554,-2125.2246922536233
1,3,0,0.36025356432808764,146.3948073293113,0.12978263061109152,0.2198883572923153,0.008244993343845805,0.9925685295382821,1.9897928642552392,-2293.2567706503223,-2268.1157634900324
1,3,1,0.33656164634959157,127.77278074312163,0.11327374179354775,0.20586631332146954,0.008191461872132546,0.9948011571909442,1.9998829589979632,-2446.725226721138,-2421.584219560848
1,3,2,0.32407709460225576,118.46928654130689,0.1050259632458395,0.1983011660321929,0.008346372341944642,0.9954041698614103,1.9984571034875933,-2532.001794751529,-2506.860787591239
1,3,3,0.3129105656599299,110.44588893062435,0.09791302210161741,0.18986785306484696,0.008233184884982333,0.9957560207454866,2.0065730542799054,-2611.106216643196,-2585.965209482906
1,3,4,0.3718450467035374,155.96713731897427,0.13826873875795592,0.21896079489461043,0.010302895349722252,0.9949026566338975,1.9930523214100078,-2221.811286678829,-2196.6702795185392
1,3,5,0.38593765924032813,168.01320505285128,0.14894787681990387,0.22610768392665948,0.011249035555251311,0.9949121225647884,2.0124052661731566,-2137.891187581155,-2112.750180420865
1,3,6,0.38310815103376955,165.5586528782433,0.14677185538851378,0.2264361936686934,0.011718278056263987,0.9948605005411595,2.011001961796767,-2154.492017421249,-2129.351010260959
1,4,0,0.3600184454778185,146.20378106305088,0.12961328108426498,0.21976829258588543,0.008240949228434522,0.992578226644901,1.9915097202073275,-2292.7296257323633,-2262.560417140015
1,4,1,0.33677663547687475,127.93607048512361,0.11341850220312381,0.20684995915944726,0.008228228231950267,0.9947945132273702,2.0028156077202617,-2443.2845972464065,-2413.1153886540583
1,4,2,0.324048315094291,118.44824626142635,0.10500731051544902,0.19783038609180034,0.008323364262638721,0.9954049860860642,1.9990957478042988,-2530.2021466249153,-2500.032938032567
